StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Sub Scale 2 _1,Sub Scale 2 _2,Sub Scale 2 _3,Sub Scale 2 _4,Sub Scale 2 _5,Sub Scale 2 _6,Sub Scale 2 _7,Sub Scale 2 _8," _1"," _2"," _3"," _4"," _5"," _6"," _7"," _8",Q8,Q9,Q10,Q11,Q12,Q13,SC0
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"On a scale 0 - 10, how physically strong are you for your age? 0 being not strong at all 5 being average strength 10 being extremely above average.",How often do you engage in physical activity? 0 - 7 days a week,How much weight (in lbs) can you bench press for a 1 rep max?,How much weight (in lbs) can you deadlift for a 1 rep max?,How many pull-ups/ chin-ups can you do without taking a break?,How tall are you (in inches)?,How much do you weigh (in lbs)?,Select how strongly you agree or disagree with the statements below. - We should not push for group equality.,Select how strongly you agree or disagree with the statements below. - We shouldn't try to guarantee that every group has the same quality of life.,Select how strongly you agree or disagree with the statements below. - It is unjust to try to make groups equal.,Select how strongly you agree or disagree with the statements below. - Group equality should not be our primary goal.,Select how strongly you agree or disagree with the statements below. - We should work to give all groups an equal chance to succeed.,Select how strongly you agree or disagree with the statements below. - We should do what we can to equalize conditions for different groups.,"Select how strongly you agree or disagree with the statements below. - No matter how much effort it takes, we ought to strive to ensure that all groups have the same chance in life.",Select how strongly you agree or disagree with the statements below. - Group equality should be our ideal.,Select how strongly you agree or disagree with the statements below. - Some groups of people must be kept in their place.,Select how strongly you agree or disagree with the statements below. - It's probably a good thing that certain groups are at the top and other groups are at the bottom.,Select how strongly you agree or disagree with the statements below. - An ideal society requires some groups to be on top and others to be on the bottom.,Select how strongly you agree or disagree with the statements below. - Some groups of people are simply inferior to other groups.,Select how strongly you agree or disagree with the statements below. - Groups at the bottom are just as deserving as groups at the top.,Select how strongly you agree or disagree with the statements below. - No one group should dominate in society.,Select how strongly you agree or disagree with the statements below. - Groups at the bottom should not have to stay in their place.,Select how strongly you agree or disagree with the statements below. - Group dominance is a poor principle.,Sex,Do you identify with any affiliation to the military?,"When it comes to political ideology, which do you consider yourself to identify with?",Which political party would consider yourself apart of?,Which best describes your education level?,Which race best describes you?,Score
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID1_7""}","{""ImportId"":""QID1_8""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""SC_206NF1hr1N7bqGa""}"
2023-11-20 18:46:10,2023-11-20 18:50:34,IP Address,65.112.8.53,100,263,True,2023-11-20 18:50:34,R_3fJZjNLjbncxDA5,,,,,42.3737,-71.1284,anonymous,EN,9,6,145,Idk,0,5’6”,175,Strongly Disagree,Strongly Disagree,Slightly Disagree,Slightly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,No Military Experience,Liberal,Democrat,"Some college, no degree",White,77
2023-11-20 18:51:20,2023-11-20 18:57:17,IP Address,47.153.9.14,100,356,True,2023-11-20 18:57:17,R_1l5HMN1F34mHb01,,,,,33.5631,-117.2738,anonymous,EN,8,3,215,230,3,73,248,Strongly Agree,Slightly Agree,Neutral,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Slightly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Slightly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Slightly Agree,Male,Veteran,Slightly Conservative,Republican,Post Grad,Hispanic or Latino,103
2023-11-20 18:54:34,2023-11-20 18:59:05,IP Address,174.196.206.249,100,270,True,2023-11-20 18:59:06,R_3Gfw2QnQ7dxtmGg,,,,,42.3498,-71.0765,anonymous,EN,6,4,105,N/a,1,67,180,Somewhat Disagree,Slightly Agree,Neutral,Slightly Disagree,Strongly Agree,Slightly Agree,Neutral,,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Slightly Agree,Slightly Disagree,Strongly Agree,Strongly Agree,Neutral,Female,Veteran,Slightly Conservative,Republican,"Some college, no degree",White,76
2023-11-20 18:58:00,2023-11-20 19:01:07,IP Address,166.196.68.99,100,186,True,2023-11-20 19:01:08,R_2tsSc1b4DNxdrLp,,,,,21.3571,-157.9258,anonymous,EN,,6,160,285,15,68,150,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Agree,Neutral,Female,Active Duty,Very Conservative,Independent,High school,White,67
2023-11-20 18:53:03,2023-11-20 19:03:09,IP Address,74.67.168.49,100,605,True,2023-11-20 19:03:09,R_1mKoFtG0dKWaBP6,,,,,43.4574,-76.2472,anonymous,EN,8,4,,,3,63,130,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Slightly Disagree,Somewhat Agree,Somewhat Agree,Slightly Agree,Somewhat Agree,Somewhat Disagree,Slightly Disagree,Strongly Disagree,Neutral,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,Veteran,Slightly Liberal,Democrat,"Some college, no degree",White,80
2023-11-20 19:04:00,2023-11-20 19:11:23,IP Address,24.63.240.7,100,443,True,2023-11-20 19:11:24,R_CjlGOcbCSCtpj5T,,,,,43.2014,-70.8824,anonymous,EN,3,0,,,,,,Somewhat Agree,Somewhat Agree,Slightly Agree,Neutral,Strongly Agree,Slightly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Slightly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Female,No Military Experience,Slightly Conservative,Republican,Post Grad,White,78
2023-11-20 19:13:38,2023-11-20 19:18:57,IP Address,137.25.101.88,100,318,True,2023-11-20 19:18:57,R_3PvMGx8K1Y2fdGR,,,,,33.9687,-118.037,anonymous,EN,,1,30,40,0,61,175,Slightly Disagree,Slightly Disagree,Somewhat Disagree,Somewhat Disagree,Slightly Agree,Neutral,Neutral,Slightly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,No Military Experience,Moderate,Democrat,"Some college, no degree",Hispanic or Latino,69
2023-11-20 19:22:40,2023-11-20 19:26:07,IP Address,104.28.85.108,100,207,True,2023-11-20 19:26:08,R_24ugl6UoDOIoVOq,,,,,34.074,-118.2611,anonymous,EN,7,3,250,150,3,73,240,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Strongly Disagree,Slightly Disagree,Slightly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Male,Veteran,Slightly Liberal,Democrat,Post Grad,Hispanic or Latino,85
2023-11-20 19:19:46,2023-11-20 19:26:17,IP Address,174.218.67.111,100,391,True,2023-11-20 19:26:18,R_UscdiaS0AQSkunT,,,,,34.0447,-118.2946,anonymous,EN,8,6 days,315 lbs,450,Five,5’11”,"255 ",Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Slightly Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Male,Veteran,Moderate,Democrat,2 year degree,Hispanic or Latino,84
2023-11-20 19:24:39,2023-11-20 19:27:30,IP Address,76.50.165.226,100,171,True,2023-11-20 19:27:31,R_1IGwQTGT6F9bfbw,,,,,33.7568,-117.7938,anonymous,EN,,0,150,245,0,5’2in,225,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Disagree,Slightly Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Slightly Agree,Somewhat Disagree,Female,No Military Experience,Moderate,Independent,4 year degree,Hispanic or Latino,80
2023-11-20 19:25:45,2023-11-20 19:30:17,IP Address,98.203.79.57,100,272,True,2023-11-20 19:30:18,R_3s67OmH8dGcQfuQ,,,,,25.9972,-80.3259,anonymous,EN,5,3,,,,,,Neutral,Neutral,Slightly Agree,Slightly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Slightly Agree,Female,No Military Experience,Slightly Conservative,Republican,2 year degree,Hispanic or Latino,73
2023-11-20 19:28:11,2023-11-20 19:33:24,IP Address,69.234.71.3,100,313,True,2023-11-20 19:33:25,R_2WGoU8HjLxil5HG,,,,,35.2227,-80.7938,anonymous,EN,5,0,,,0,5’4,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Female,No Military Experience,Slightly Liberal,Independent,4 year degree,Hispanic or Latino,67
2023-11-20 19:28:58,2023-11-20 19:36:01,IP Address,69.234.71.3,100,423,True,2023-11-20 19:36:02,R_3O00NnswXHVAoNO,,,,,35.2227,-80.7938,anonymous,EN,7,5,100,200,0,73,273,Slightly Disagree,Slightly Disagree,Slightly Disagree,Somewhat Disagree,Somewhat Agree,Slightly Agree,Strongly Agree,Somewhat Agree,Slightly Disagree,Somewhat Disagree,Somewhat Disagree,Slightly Disagree,Somewhat Agree,Slightly Agree,Slightly Agree,Somewhat Disagree,Male,No Military Experience,Slightly Liberal,Independent,Did NOT graduate high school,Hispanic or Latino,69
2023-11-20 19:36:55,2023-11-20 19:40:38,IP Address,216.147.123.23,100,223,True,2023-11-20 19:40:38,R_3oA6tNYHS93N8Mp,,,,,39.7388,-104.9868,anonymous,EN,8,5,315,395,20,72,205,Slightly Agree,Slightly Agree,Slightly Agree,Somewhat Agree,Strongly Agree,Slightly Agree,Somewhat Agree,Slightly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Male,Veteran,Slightly Conservative,Republican,Post Grad,White,94
2023-11-20 19:46:43,2023-11-20 19:50:40,IP Address,47.150.139.253,100,237,True,2023-11-20 19:50:41,R_2w1cwFyQtRnGqFx,,,,,34.4179,-117.3064,anonymous,EN,7,7,315,305,18,67,185,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Male,Veteran,Very Conservative,Republican,4 year degree,Hispanic or Latino,70
2023-11-20 20:03:17,2023-11-20 20:14:53,IP Address,174.243.177.133,100,695,True,2023-11-20 20:14:53,R_1f2GNct3RkRkZNP,,,,,34.0772,-117.4506,anonymous,EN,6,5,I don't know,I don't know,2,"5'4""",130,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Slightly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Female,No Military Experience,Slightly Conservative,Independent,"Some college, no degree",Hispanic or Latino,78
2023-11-20 20:06:34,2023-11-20 20:22:12,IP Address,136.33.220.235,100,937,True,2023-11-20 20:22:12,R_a4uuemFJtsAask9,,,,,38.8715,-94.7713,anonymous,EN,9,3,200,200,5,68,180,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Male,Veteran,Moderate,Independent,Post Grad,Hispanic or Latino,91
2023-11-20 20:19:49,2023-11-20 20:23:34,IP Address,172.56.232.49,100,224,True,2023-11-20 20:23:35,R_vPQpnCkF0DuPhhT,,,,,34.024,-118.1965,anonymous,EN,5,1,45,60,0,66,230,Neutral,Neutral,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Somewhat Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Somewhat Agree,Slightly Agree,Neutral,Female,No Military Experience,Slightly Conservative,Republican,"Some college, no degree",Hispanic or Latino,81
