"ID","Duration (in seconds)","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Intergroup_dominance_Q1","Intergroup_dominance_Q2","Intergroup_dominance_Q3","Intergroup_dominance_Q4","Intergroup_dominance_Q5","Intergroup_dominance_Q6","Intergroup_dominance_Q7","Intergroup_dominance_Q8","Antiegalitarian_Q1","Antiegalitarian_Q2","Antiegalitarian_Q3","Antiegalitarian_Q4","Antiegalitarian_Q5","Antiegalitarian_Q6","Antiegalitarian_Q7","Antiegalitarian_Q8","SC0"
1,"263","9","6","145","Idk","0","5’6”","175","Strongly Disagree","Strongly Disagree","Slightly Disagree","Slightly Disagree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Slightly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","77"
2,"356","8","3","215","230","3","73","248","Strongly Agree","Slightly Agree","Neutral","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Slightly Disagree","Somewhat Agree","Somewhat Agree","Strongly Agree","Slightly Agree","Strongly Disagree","Somewhat Agree","Strongly Agree","Slightly Agree","103"
3,"270","6","4","105","N/a","1","67","180","Somewhat Disagree","Slightly Agree","Neutral","Slightly Disagree","Strongly Agree","Slightly Agree","Neutral",NA,"Strongly Disagree","Somewhat Disagree","Somewhat Agree","Slightly Agree","Slightly Disagree","Strongly Agree","Strongly Agree","Neutral","76"
4,"186",NA,"6","160","285","15","68","150","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Neutral","Neutral","Strongly Agree","Neutral","67"
5,"605","8","4",NA,NA,"3","63","130","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Slightly Disagree","Somewhat Agree","Somewhat Agree","Slightly Agree","Somewhat Agree","Somewhat Disagree","Slightly Disagree","Strongly Disagree","Neutral","Slightly Agree","Strongly Agree","Strongly Agree","Strongly Agree","80"
6,"443","3","0",NA,NA,NA,NA,NA,"Somewhat Agree","Somewhat Agree","Slightly Agree","Neutral","Strongly Agree","Slightly Disagree","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Slightly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","78"
7,"318",NA,"1","30","40","0","61","175","Slightly Disagree","Slightly Disagree","Somewhat Disagree","Somewhat Disagree","Slightly Agree","Neutral","Neutral","Slightly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","69"
8,"207","7","3","250","150","3","73","240","Somewhat Agree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Slightly Disagree","Strongly Disagree","Slightly Disagree","Slightly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","85"
9,"391","8","6 days","315 lbs","450","Five","5’11”","255","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Slightly Disagree","Strongly Disagree","Strongly Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","84"
10,"171",NA,"0","150","245","0","5’2in","225","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Slightly Disagree","Slightly Disagree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Slightly Agree","Somewhat Disagree","80"
11,"272","5","3",NA,NA,NA,NA,NA,"Neutral","Neutral","Slightly Agree","Slightly Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Strongly Agree","Slightly Agree","73"
12,"313","5","0",NA,NA,"0","5’4",NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Agree","67"
13,"423","7","5","100","200","0","73","273","Slightly Disagree","Slightly Disagree","Slightly Disagree","Somewhat Disagree","Somewhat Agree","Slightly Agree","Strongly Agree","Somewhat Agree","Slightly Disagree","Somewhat Disagree","Somewhat Disagree","Slightly Disagree","Somewhat Agree","Slightly Agree","Slightly Agree","Somewhat Disagree","69"
14,"223","8","5","315","395","20","72","205","Slightly Agree","Slightly Agree","Slightly Agree","Somewhat Agree","Strongly Agree","Slightly Agree","Somewhat Agree","Slightly Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","94"
15,"237","7","7","315","305","18","67","185","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Neutral","Neutral","Neutral","Neutral","70"
16,"695","6","5","I don't know","I don't know","2","5'4""","130","Neutral","Neutral","Neutral","Neutral","Strongly Agree","Neutral","Neutral","Slightly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","78"
17,"937","9","3","200","200","5","68","180","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","91"
18,"224","5","1","45","60","0","66","230","Neutral","Neutral","Slightly Disagree","Slightly Disagree","Slightly Agree","Slightly Agree","Slightly Agree","Somewhat Agree","Slightly Disagree","Slightly Disagree","Slightly Agree","Slightly Disagree","Slightly Agree","Somewhat Agree","Slightly Agree","Neutral","81"
19,"171",NA,"7","50","50","1","5’6”","120","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","74"
20,"219",NA,"3",NA,NA,NA,NA,NA,"Strongly Disagree","Strongly Disagree","Neutral","Neutral","Neutral","Somewhat Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","93"
21,"333","8","4","245","425","20+","67","150","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Neutral","87"
22,"480","6","5","105","125","3","66","180","Neutral","Slightly Disagree","Neutral","Slightly Agree","Somewhat Agree","Somewhat Agree","Slightly Agree","Slightly Agree","Slightly Agree","Neutral","Slightly Disagree","Somewhat Agree","Slightly Agree","Somewhat Agree","Slightly Agree","Slightly Agree","93"
23,"290","7","4","145","Not sure","14","66","130","Slightly Agree","Somewhat Disagree","Slightly Agree","Slightly Agree","Somewhat Agree","Somewhat Agree","Slightly Agree","Neutral","Strongly Disagree","Strongly Disagree","Slightly Disagree","Strongly Disagree","Slightly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","82"
24,"1274",NA,"4","335","635","19","73","248","Slightly Agree","Strongly Disagree","Neutral","Neutral","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Slightly Agree","Strongly Disagree","Neutral","Neutral","Neutral","Neutral","57"
25,"218","5","2","?","?","1","64inches","120lbs","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Neutral","Somewhat Agree","79"
26,"7091","4","1",NA,NA,NA,NA,NA,"Somewhat Disagree","Neutral","Slightly Agree","Slightly Agree","Strongly Agree","Neutral","Somewhat Disagree","Slightly Disagree","Strongly Disagree","Neutral","Neutral","Strongly Disagree","Neutral","Neutral","Neutral","Neutral","72"
27,"577",NA,"7 days","185","315","8","72","224","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Slightly Disagree","Neutral","Somewhat Agree","Neutral","Neutral","Neutral","Somewhat Disagree","Slightly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","97"
28,"276",NA,"7","225","325","15","70","176","Neutral","Neutral","Somewhat Disagree","Neutral","Slightly Disagree","Slightly Agree","Somewhat Agree","Neutral","Slightly Agree","Neutral","Strongly Agree","Strongly Disagree","Strongly Disagree","Slightly Agree","Somewhat Agree","Neutral","77"
29,"305","6","4 days a week","90lbs","200lbs","10","5’5”","120lbs","Slightly Agree","Somewhat Disagree","Slightly Disagree","Slightly Agree","Slightly Agree","Strongly Disagree","Strongly Disagree","Slightly Agree","Strongly Disagree","Slightly Disagree","Strongly Agree","Strongly Disagree","Slightly Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","75"
30,"19366","7","4","65lb","95lb","none","5’4","161","Neutral","Neutral","Slightly Agree","Somewhat Agree","Slightly Agree","Slightly Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Slightly Disagree","Neutral","Slightly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","76"
31,"725","7","5","20","20","0","5'2","210","Slightly Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Slightly Agree","Slightly Disagree","Neutral","Somewhat Agree","Strongly Agree","Strongly Disagree","Slightly Disagree","Strongly Agree","Strongly Agree","Slightly Agree","96"
32,"389","6","3 days a week","0","0","0","64 inches","150","Strongly Disagree","Strongly Agree","Neutral","Slightly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Slightly Agree","Neutral","Slightly Agree","Neutral","Neutral","Slightly Disagree","Slightly Agree","Slightly Disagree","84"
33,"487","5","every other day","80 pounds","60 pounds","35","5' 8""","200 pounds","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","96"
34,"292","5","4",NA,NA,NA,"69""","210","Slightly Agree","Somewhat Disagree","Strongly Agree","Slightly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Slightly Disagree","Strongly Agree","Slightly Agree","86"
35,"221","7","5","225","360","7","71The two hands","200","Slightly Disagree","Somewhat Disagree","Somewhat Disagree","Slightly Agree","Somewhat Agree","Somewhat Agree","Slightly Agree","Somewhat Agree","Neutral","Somewhat Disagree","Somewhat Disagree","Slightly Disagree","Slightly Agree","Slightly Agree","Slightly Agree","Somewhat Agree","78"
36,"536","5","7",NA,NA,NA,"63","120","Slightly Agree","Strongly Agree","Slightly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Slightly Disagree","Slightly Disagree","Strongly Disagree","Slightly Agree","Slightly Agree","Slightly Disagree","Somewhat Disagree","92"
37,"238",NA,"3","250 lbs","350 lbs","5","5’-9”","215 lbs","Strongly Agree","Neutral","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","95"
38,"49437",NA,"2","Don’t know","Don’t jnow","0","5’3","203","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Neutral","Somewhat Agree","Strongly Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Neutral","94"
39,"50757",NA,"2","40",NA,NA,NA,NA,"Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Disagree","82"
40,"146","6","0","135","100","1","72","205","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","76"
41,"349",NA,"5","275","400","12","69","200","Slightly Disagree","Neutral","Slightly Agree","Neutral","Strongly Agree","Slightly Agree","Slightly Agree","Slightly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Somewhat Agree","Strongly Agree","Strongly Agree","76"
42,"459",NA,"4","60","60","3","5’3”","173","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","80"
43,"665","6","3","Not sure","Not sure","3","71","195","Neutral","Slightly Agree","Slightly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","78"
44,"322","5","2","50","80","0","5 ft 8 in","287","Strongly Disagree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Slightly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","81"
45,"300","5","2","205","235","8","74","232","Slightly Disagree","Somewhat Agree","Slightly Agree","Strongly Agree","Slightly Agree","Slightly Agree","Slightly Disagree","Slightly Disagree","Somewhat Disagree","Somewhat Disagree","Slightly Agree","Slightly Disagree","Slightly Disagree","Somewhat Agree","Somewhat Agree","Slightly Disagree","78"
46,"243","6","3","220","300","3","70",NA,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Neutral","Strongly Agree","67"
47,"196",NA,"5","285","300","25","72","200","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Strongly Agree","Slightly Disagree","Strongly Agree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","87"
48,"343","6","7","150","50","0","70”","178","Neutral","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Neutral","Slightly Agree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","80"
49,"335","8","7","225","Idk bro","10","70","170","Somewhat Disagree","Slightly Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Somewhat Disagree","Slightly Disagree","Strongly Disagree","Somewhat Agree","Slightly Agree","Slightly Agree","Slightly Agree","81"
50,"505",NA,NA,NA,NA,NA,NA,NA,"Slightly Disagree","Slightly Disagree","Slightly Disagree","Neutral","Somewhat Agree","Strongly Agree","Somewhat Agree","Neutral","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","80"
51,"221","8","5 days","No idea","300+lbs","None","5'2","No idea","Neutral","Strongly Agree","Somewhat Agree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","90"
52,"168",NA,"2","50","110","0","65","180","Strongly Disagree","Strongly Agree","Strongly Disagree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Slightly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","83"
53,"383","7","5","175","315","16","71","175","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Slightly Agree","Strongly Agree","Strongly Agree","Slightly Disagree","Slightly Agree","Strongly Disagree","Neutral","Slightly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Slightly Agree","74"
54,"271","4","5","60","115","0","5’5","145","Neutral","Somewhat Disagree","Slightly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","82"
55,"217","5","0","50","70","0","62","140","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Slightly Agree","Strongly Agree","Slightly Agree","Somewhat Agree","Slightly Agree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","69"
56,"144","6","4","100","100","1","66","170","Somewhat Disagree","Slightly Agree","Slightly Agree","Slightly Agree","Somewhat Agree","Somewhat Agree","Slightly Disagree","Slightly Disagree","Strongly Disagree","Slightly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Somewhat Agree","Slightly Disagree","79"
57,"552","9","6","160","I don’t know","About 25","70","176","Somewhat Disagree","Slightly Disagree","Somewhat Disagree","Slightly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Neutral","Slightly Disagree","Neutral","Slightly Disagree","Neutral","Neutral","Neutral","Neutral","72"
